Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target
DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
219,"Melaghar-Srimantapur section on NH-08 Spur from Km 23 to Km 34.500 11.5 Km
and overlay from Km 20.30 to Km 22.00 1.7 Km Total Length 13.2 Km
(NHIDCL)
(618411)",Tripura,"01/2023
(05/2023)","11/2024
(06/2026)","195.95
(195.95)",86.26,69.78
,Total (165),,,,103816.85,25727.27,
,Department of Telecommunications,,,,,,
,Telecommunication,,,,,,
220,"Provision of 4G based Mobile Services in Uncovered Villages and National
Highways of Meghalaya
(Department of Telecommunications)
(701598)",Meghalaya,"09/2019
(09/2020)","03/2022
(03/2026)","971.96
(971.96)",224.6,99.84
221,"Provision of 4G Mobile Services in Uncovered Villages of Arunachal Pradesh and
2 Districts of Assam
(Department of Telecommunications)
(701597)","Multi-States (Assam,
Arunachal Pradesh)","12/2020
(10/2021)","04/2023
(03/2026)","1255.49
(1255.49)",332.43,99.37
,Total (2),,,,2227.45,557.03,
,"Department of Water Resources, River Development & GR",,,,,,
,Water Resources,,,,,,
222,"Borolia Irrigation Project
(Department of Water Resources, River Development & GR)
(701370)",Assam,"04/1996
(12/1996)","12/2022
(03/2026)","256.16
(256.16)",44.7,55.44
223,"Thoubal Multipurpose Project
(Water Resources Department-MN)
(701400)",Manipur,"04/1997
(04/1997)","12/2019
(03/2026)","1449.44
(1822.24)",1837.91,98.9
