Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
158,"Vadape to Thane from km 539.202 to km 563.000 section of NH-3 new NH-848
(National Highways Authority of India [NHAI])
(619203)",Maharashtra,"03/2018
(01/2019)","07/2021
(03/2022)","1252.92
(1371.27)"
159,"Vadodara Mumbai Expressway Phase II - Pkg XII [Km. 50.700 to Km. 77.000] Masvan
- Ganjad
(National Highways Authority of India [NHAI])
(619198)",Maharashtra,"08/2020
(03/2022)","03/2024
(-)","1711.38
(2388.52)"
160,"Improvement/Up-gradation of existing 2-Lane Road to 4-Lane Divided Highway from
Daili to Kuraopokpi section of Imphal-Kohima road NH-02 Design Chainage from Km
274610 to Km 287000 in the state of Manipur on EPC mode Pkg-4B
(NHIDCL)
(618299)",Manipur,"09/2020
(12/2024)","06/2026
(-)","268.98
(-)"
161,"Widening/Improvement of existing 2-lane to 4-Lane Divided Highway from Kuraopokpi
to Sekmai section of Imphal-Kohima Road Design Ch. km 287.00 to 297.700 of NH-39
New NH-02 in state of Manipur on EPC mode Pkg-5A
(NHIDCL)
(618301)",Manipur,"09/2020
(02/2025)","08/2026
(-)","228.97
(-)"
162,"Bellary to Byrapura Section km 253.600 to km 308.550 of NH-150A
(National Highways Authority of India [NHAI])
(618696)","Multi-States (Andhra Pradesh,
Karnataka)","03/2018
(10/2019)","10/2021
(09/2022)","1281.47
(1689.6)"
163,"Bangalore Chennai Expressway Phase-II Pkg-I from km.71.000 to Km 96.000
Bethamangala in the state of Karnataka to Byreddypalli
(National Highways Authority of India [NHAI])
(619199)","Multi-States (Andhra Pradesh,
Karnataka)","12/2020
(10/2022)","10/2024
(06/2025)","1410.01
(1410.01)"
164,"6L Access Controlled Greenfield Highway of Julekal village to Dinnedevarapadu village
from Km 242.200 to Km 280.400 Pkg-2
(National Highways Authority of India [NHAI])
(619212)","Multi-States (Andhra Pradesh,
Telangana)","01/2022
(01/2023)","01/2025
(07/2025)","1227.57
(1315.87)"
165,"4L Access Controlled Greenfield Highway section on NH-163G Khammam Vijayawada
from Remidicherla village at Design Ch. 280.200 Km to Jakkampudi village on NH-16
at Design Ch. 309.909 Km Package-III
(National Highways Authority of India [NHAI])
(618818)","Multi-States (Andhra Pradesh,
Telangana)","03/2023
(05/2025)","05/2027
(-)","1183.23
(1225.14)"
166,"6L Greenfield Varanasi-Ranchi-Kolkata Highway from junction with NH-19 & Varanasi
Ring Road near Rewasa village to junction with Chandauli-Chainpur road near Khainti
village from Km. 0.000 to Km. 27.000 - Pkg-1
(National Highways Authority of India [NHAI])
(618728)","Multi-States (Bihar, Uttar
Pradesh)","03/2023
(11/2024)","11/2026
(-)","1433.39
(1564.15)"
167,"Dwarka Expressway Pkg-III Delhi/HR Border to Start of RoB Gurugram
(National Highways Authority of India [NHAI])
(618577)","Multi-States (Delhi, Haryana)","01/2018
(11/2018)","11/2020
(02/2024)","2228.26
(2298.37)"
168,"6L access Controlled Greenfield Highway from Adhoya Musalmana to Sadopur section
of Shamli -Ambala Package-III Design Ch. Form km 84.400 to km 121.786
(National Highways Authority of India [NHAI])
(619216)","Multi-States (Haryana,
Punjab)","05/2022
(05/2023)","05/2025
(06/2026)","1491.72
(1122.86)"
169,"2L/4L of Hoshiarpur to Una section including Hoshiarpur Bypass of NH 503A
(National Highways Authority of India [NHAI])
(618907)","Multi-States (Himachal
Pradesh, Punjab)","03/2023
(05/2025)","05/2027
(-)","571.34
(481.88)"
170,"Six Laning of KT/KL Border Thalapaddy -Chengala from Km. 17.200 to Km. 57.20
(National Highways Authority of India [NHAI])
(619205)","Multi-States (Karnataka,
Kerala)","05/2020
(11/2021)","05/2024
(-)","1981.07
(2681.48)"
171,"Akkalkot MH/KN border New Greenfield corridor from Km 512.000 to Km 548.400 of
NH-150C part of Akkalkot KN/TS Border section Package XIV
(National Highways Authority of India [NHAI])
(618636)","Multi-States (Karnataka,
Maharashtra)","03/2023
(10/2024)","10/2026
(-)","1370.75
(1403.49)"
