project_id,sanctioned_cost,final_cost,cost_overrun_ratio,cost_overrun_5pct,cost_overrun_10pct,cost_overrun_20pct,completion_reason,completion_date,sector,state,size_band,size_band_SMALL,size_band_MEDIUM,size_band_LARGE,size_band_XLARGE,size_band_UNKNOWN,log_sanctioned_cost,cost_revision_ratio,sector_Railways,sector_Transmission & Distribution,sector_Healthcare,sector_Shipping,sector_Roads & Highways,sector_Electricity Generation,sector_Oil & Gas,sector_Aviation & Aviation Infrastructure,sector_Water Resources,sector_PAN India,state_Gujarat,state_Uttar Pradesh,state_Maharashtra,state_Bihar,state_Tamil Nadu,state_Assam,state_Rajasthan,state_Andhra Pradesh,state_Odisha,state_Uttarakhand,completion_by_progress,completion_by_expenditure
PN-lucknow_airport-terminal_3-_ph-uttar prad-adani_airport_holdin,3100.0,3112.57,0.0040548387096774,0,0,0,expenditure_ge_sanctioned,2025-11,Aviation & Aviation Infrastructure,Uttar Pradesh,XLARGE,0,0,0,1,0,8.03947991910045,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
PC-602194,11089.42,12951.99,0.1679591899305825,1,1,0,"progress_100, expenditure_ge_sanctioned",2025-11,Electricity Generation,Uttar Pradesh,XLARGE,0,0,0,1,0,9.313836951584006,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
PN-transmission_system_strengthen-delhi-power_grid_corporati,359.47,359.47,0.0,0,0,0,expenditure_ge_sanctioned,2025-11,Transmission & Distribution,Delhi,MEDIUM,0,1,0,0,0,5.887408735509094,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PN-transmission_system_for_streng-multi-stat-power_grid_corporati,288.71,288.71,0.0,0,0,0,expenditure_ge_sanctioned,2025-11,Transmission & Distribution,"Multi-States (Jammu and Kashmir, Ladakh)",MEDIUM,0,1,0,0,0,5.668880422646936,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PN-establishment_of_khavda_poolin-gujarat-power_grid_corporati,966.79,966.79,0.0,0,0,0,expenditure_ge_sanctioned,2025-11,Transmission & Distribution,Gujarat,LARGE,0,0,1,0,0,6.875015121592464,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PC-709858,810.99,786.86,-0.0297537577528699,0,0,0,progress_100,2025-11,,PAN India,LARGE,0,0,1,0,0,6.699488024814908,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PN-dibrugarh_water_supply_infrast-assam-ministry_of_housing_,186.8,186.8,0.0,0,0,0,expenditure_ge_sanctioned,2025-11,Waste & Water,Assam,MEDIUM,0,1,0,0,0,5.235377566774162,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
PN-transmission_system_strengthen-multi-stat-power_grid_corporati,1666.0,2218.0,0.3313325330132053,1,1,1,expenditure_ge_sanctioned,2025-11,Transmission & Distribution,"Multi-States (Delhi, Haryana, Rajasthan)",XLARGE,0,0,0,1,0,7.418780882750794,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PN-khurja_super_thermal_power_pla-uttar prad-thdc_india_limited,11089.42,12888.23,0.162209565513796,1,1,0,expenditure_ge_sanctioned,2025-12,Electricity Generation,Uttar Pradesh,XLARGE,0,0,0,1,0,9.313836951584006,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
PN-janghai-phaphamau_doubling_rai-uttar prad-rvnl,357.0,844.84,1.366498599439776,1,1,1,expenditure_ge_sanctioned,2025-12,,Uttar Pradesh,MEDIUM,0,1,0,0,0,5.8805329864007,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
PN-adraj_moti_vijapur_40_kms_6119-gujarat-western_railway_(wr),417.53,513.61,0.2301152013029004,1,1,1,expenditure_ge_sanctioned,2025-12,Railways,Gujarat,MEDIUM,0,1,0,0,0,6.036748571948126,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PN-bikaner_solar_power_project_70-rajasthan-satluj_jal_vidyut_ni,5491.89,5523.11,0.0056847460528159,0,0,0,expenditure_ge_sanctioned,2025-12,Electricity Generation,Rajasthan,XLARGE,0,0,0,1,0,8.611209807655124,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
PN-construction_of_100_bedded_esi-jammu and -employee's_state_ins,131.05,162.05,0.2365509347577259,1,1,1,expenditure_ge_sanctioned,2025-12,Healthcare,Jammu and Kashmir,MEDIUM,0,1,0,0,0,4.883180638743141,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PN-phephna-indara,_mau-shahganj_d-uttar prad-rvnl_-_i",1178.0,2217.85,0.8827249575551781,1,1,1,expenditure_ge_sanctioned,2025-12,Railways,Uttar Pradesh,XLARGE,0,0,0,1,0,7.072421900537371,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
PN-transmission_scheme_for_evacua-gujarat-power_grid_corporati,2820.99,2820.99,0.0,0,0,0,expenditure_ge_sanctioned,2026-01,Transmission & Distribution,Gujarat,XLARGE,0,0,0,1,0,7.945197588820371,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PC-702948,235.73,221.27,-0.0613413651211131,0,0,0,progress_100,2026-01,,Uttar Pradesh,MEDIUM,0,1,0,0,0,5.466920251201053,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
PC-400161,910.56,1073.0,0.178395712528554,1,1,0,expenditure_ge_sanctioned,2026-01,,Uttar Pradesh,LARGE,0,0,1,0,0,6.815157417514571,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
PC-701600,336.89,241.23,-0.283950250823711,0,0,0,progress_100,2026-02,Telecommunication,"Multi-States (Bihar, Gujarat, Himachal Pradesh, Jammu and Kashmir, Ladakh, Rajasthan, Uttar Pradesh)",MEDIUM,0,1,0,0,0,5.822720398727715,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PC-702631,5384.17,5019.61,-0.0677096005512456,0,0,0,progress_100,2026-02,Urban Public Transport,Gujarat,XLARGE,0,0,0,1,0,8.591404158265824,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
PC-701568,100.0,186.47,0.8647,1,1,1,expenditure_ge_sanctioned,2026-02,Shipping,Gujarat,MEDIUM,0,1,0,0,0,4.61512051684126,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PC-602193,4825.6,8213.03,0.7019707393899204,1,1,1,expenditure_ge_sanctioned,2026-02,,Uttarakhand,XLARGE,0,0,0,1,0,8.481897565021512,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PC-618575,457.72,371.63,-0.1880844184217426,0,0,0,progress_100,2026-02,,Assam,MEDIUM,0,1,0,0,0,6.12844000213506,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
PC-709827,349.75,326.85,-0.0654753395282343,0,0,0,progress_100,2026-02,Steel,Chhattisgarh,MEDIUM,0,1,0,0,0,5.86007371898257,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PC-618696,1281.47,349.37,-0.7273677885553309,0,0,0,progress_100,2026-02,,"Multi-States (Andhra Pradesh, Karnataka)",XLARGE,0,0,0,1,0,7.156543184958466,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PN-trivandrum-_kanyakumari_705635-multi-stat-southern_railway_[sr,1432.0,2882.55,1.012953910614525,1,1,1,expenditure_ge_sanctioned,2026-02,Railways,"Multi-States (Kerala, Tamil Nadu)",XLARGE,0,0,0,1,0,7.267525427828172,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-701576,298.26,480.0,0.6093341380004025,1,1,1,"progress_100, expenditure_ge_sanctioned",2026-02,Shipping,West Bengal,MEDIUM,0,1,0,0,0,5.701312760755274,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PC-618789,1525.31,1689.83,0.107860041565321,1,1,0,expenditure_ge_sanctioned,2026-02,,Punjab,XLARGE,0,0,0,1,0,7.330608336691529,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-705651,2478.23,3368.11,0.3590788587015734,1,1,1,"progress_100, expenditure_ge_sanctioned",2026-02,,Madhya Pradesh,XLARGE,0,0,0,1,0,7.815703307077964,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PC-619115,796.77,201.53,-0.7470662801059277,0,0,0,progress_100,2026-02,,Karnataka,LARGE,0,0,1,0,0,6.681820335354905,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PC-705662,1878.0,2763.97,0.471762513312034,1,1,1,expenditure_ge_sanctioned,2026-02,,"Multi-States (Karnataka, Maharashtra)",XLARGE,0,0,0,1,0,7.538494999413465,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PN-pp_project,_pata_400161-uttar prad-gas_authority_of_ind",910.56,1082.0,0.1882797399402567,1,1,0,expenditure_ge_sanctioned,2026-02,Oil & Gas,Uttar Pradesh,LARGE,0,0,1,0,0,6.815157417514571,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
PC-612185,209.36,202.62,-0.0321933511654566,0,0,0,progress_100,2026-02,Healthcare,Gujarat,MEDIUM,0,1,0,0,0,5.348820348721143,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
PN-penukonda_-_dharmavaram_doubli-andhra pra-south_western_railwa,307.66,311.28,0.0117662354547225,0,0,0,expenditure_ge_sanctioned,2026-02,Railways,Andhra Pradesh,MEDIUM,0,1,0,0,0,5.732240347472685,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
PC-611142,177.0,383.41,1.1661581920903958,1,1,1,"progress_100, expenditure_ge_sanctioned",2026-03,Inland Waterways,Offshore,MEDIUM,0,1,0,0,0,5.181783550292085,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PN-6l_of_it_city_chowk_to_kurali_-punjab-national_highways_au,1525.31,1695.39,0.1115052022211879,1,1,0,expenditure_ge_sanctioned,2026-03,,Punjab,XLARGE,0,0,0,1,0,7.330608336691529,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PN-augmentation_of_1x1500_mva_3rd-andhra pra-power_grid_corporati,163.61,163.61,0.0,0,0,0,expenditure_ge_sanctioned,2026-03,Transmission & Distribution,Andhra Pradesh,MEDIUM,0,1,0,0,0,5.103579039738994,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"PN-berth_no._2_[previously_berth_-west benga-haldia_dock_complex,",298.26,480.0,0.6093341380004025,1,1,1,expenditure_ge_sanctioned,2026-03,Shipping,West Bengal,MEDIUM,0,1,0,0,0,5.701312760755274,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PN-tehri_pumped_storage_plant_pro-uttarakhan-thdc_india_limited,4825.6,8267.03,0.7131610576923078,1,1,1,expenditure_ge_sanctioned,2026-03,Electricity Generation,Uttarakhand,XLARGE,0,0,0,1,0,8.481897565021512,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PN-construction_of_oil_jetty_no.8-gujarat-deendayal_port_trust,100.0,186.47,0.8647,1,1,1,expenditure_ge_sanctioned,2026-03,Shipping,Gujarat,MEDIUM,0,1,0,0,0,4.61512051684126,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PN-katni_-_bina_third_railway_lin-madhya pra-west_central_railway,2478.23,3368.11,0.3590788587015734,1,1,1,expenditure_ge_sanctioned,2026-03,Railways,Madhya Pradesh,XLARGE,0,0,0,1,0,7.815703307077964,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-705503,4027.53,5248.72,0.3032106526829099,1,1,1,"progress_100, expenditure_ge_sanctioned",2026-03,,Maharashtra,XLARGE,0,0,0,1,0,8.301156824130071,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PC-702798,362.31,332.05,-0.0835196378791642,0,0,0,progress_100,2026-03,,Madhya Pradesh,MEDIUM,0,1,0,0,0,5.895256464309389,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PN-construction_of_tunnels/viaduc-jammu and -national_highways_au,442.14,458.86,0.0378160763559054,0,0,0,expenditure_ge_sanctioned,2026-03,,Jammu and Kashmir,MEDIUM,0,1,0,0,0,6.09388574720713,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-702735,213.19,180.32,-0.1541817158403302,0,0,0,progress_100,2026-03,,Haryana,MEDIUM,0,1,0,0,0,5.366863471583051,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PC-612178,152.95,127.22,-0.1682249101013402,0,0,0,progress_100,2026-03,Healthcare,Tamil Nadu,MEDIUM,0,1,0,0,0,5.0366278743705095,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
PN-hotgi-kudgi-gadag_doubling_pro-multi-stat-south_western_railwa,1878.0,2771.29,0.4756602768903089,1,1,1,expenditure_ge_sanctioned,2026-03,Railways,"Multi-States (Karnataka, Maharashtra)",XLARGE,0,0,0,1,0,7.538494999413465,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-400112,7222.95,10516.63,0.4560020490242906,1,1,1,expenditure_ge_sanctioned,2026-04,,Maharashtra,XLARGE,0,0,0,1,0,8.885157173699668,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PC-619137,1024.69,882.1,-0.1391542808068782,0,0,0,progress_100,2026-04,,Gujarat,XLARGE,0,0,0,1,0,6.933120835826432,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
PC-400105,580.79,713.46,0.2284302415675203,1,1,1,expenditure_ge_sanctioned,2026-04,,Maharashtra,LARGE,0,0,1,0,0,6.366109557876259,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PN-transmission_system_for_evacua-gujarat-power_grid_corporati,334.0,334.0,0.0,0,0,0,expenditure_ge_sanctioned,2026-04,Transmission & Distribution,Gujarat,MEDIUM,0,1,0,0,0,5.814130531825066,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PC-400107,2407.67,2779.38,0.1543857754592614,1,1,0,expenditure_ge_sanctioned,2026-04,,Maharashtra,XLARGE,0,0,0,1,0,7.786830006930021,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PC-400259,17237.8,21237.52,0.2320319298286324,1,1,1,expenditure_ge_sanctioned,2026-04,,Uttar Pradesh,XLARGE,0,0,0,1,0,9.754917936226658,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
PC-619070,839.0,8.42,-0.9899642431466033,0,0,0,progress_100,2026-04,,Karnataka,LARGE,0,0,1,0,0,6.733401891837359,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PC-607701,412.3,457.64,0.1099684695609992,1,1,0,expenditure_ge_sanctioned,2026-04,Oil & Gas,Assam,MEDIUM,0,1,0,0,0,6.024173721517687,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
PC-615327,218.03,169.95,-0.2205201119112049,0,0,0,progress_100,2026-04,,Tamil Nadu,MEDIUM,0,1,0,0,0,5.389208706736104,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
PC-612819,1813.0,1753.07,-0.0330557087699945,0,0,0,progress_100,2026-04,,Rajasthan,XLARGE,0,0,0,1,0,7.503289630675082,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
