project_id,original_completion_date,revised_completion_date,delay_months,delay_gt_3_months,delay_gt_6_months,delay_gt_12_months,completion_reason,completion_date,sector,state,size_band,log_sanctioned_cost,size_band_SMALL,size_band_MEDIUM,size_band_LARGE,size_band_XLARGE,size_band_UNKNOWN,sector_Railways,sector_Water Resources,sector_Transmission & Distribution,sector_Electricity Generation,sector_Roads & Highways,sector_Healthcare,sector_Urban Public Transport,sector_Waste & Water,sector_Oil & Gas,sector_Education,state_Gujarat,state_Maharashtra,state_Uttar Pradesh,state_Bihar,state_Andhra Pradesh,state_Karnataka,state_Assam,state_Odisha,state_Chhattisgarh,state_Madhya Pradesh,completion_by_progress,completion_by_expenditure
PC-618337,03/2023,03/2026,36,1,1,1,expenditure_ge_sanctioned,2026-07,,Manipur,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-618118,07/2024,07/2025,12,1,1,0,progress_100,2026-05,,Rajasthan,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PN-durgawati_reservoir_project_70-bihar-irrigation_and_cad-t,09/2025,12/2019,-69,0,0,0,expenditure_ge_sanctioned,2025-09,Water Resources,Bihar,UNKNOWN,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
PC-619077,03/2020,08/2026,77,1,1,1,progress_100,2026-07,,"Multi-States (Andhra Pradesh, Tamil Nadu)",UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PN-bikaner_solar_power_project_70-rajasthan-satluj_jal_vidyut_ni,12/2025,04/2024,-20,0,0,0,expenditure_ge_sanctioned,2025-12,Electricity Generation,Rajasthan,UNKNOWN,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-707039,12/2026,07/2026,-5,0,0,0,expenditure_ge_sanctioned,2026-07,Healthcare,Sikkim,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-602579,01/2024,05/2026,28,1,1,1,expenditure_ge_sanctioned,2026-07,Electricity Generation,Bihar,UNKNOWN,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
PC-619193,02/2017,08/2026,114,1,1,1,expenditure_ge_sanctioned,2026-07,,Telangana,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-618674,01/2025,08/2026,19,1,1,1,progress_100,2026-07,,Chhattisgarh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
PC-618776,05/2025,09/2026,16,1,1,1,expenditure_ge_sanctioned,2026-07,,Punjab,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-618706,11/2021,09/2026,58,1,1,1,expenditure_ge_sanctioned,2026-07,,Karnataka,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
PN-construction_of_four-lane_elev-uttar prad-morth,09/2023,09/2023,0,0,0,0,expenditure_ge_sanctioned,2026-06,,Uttar Pradesh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PC-400010,09/2021,07/2026,58,1,1,1,expenditure_ge_sanctioned,2026-07,Aviation & Aviation Infrastructure,Ladakh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-705504,12/2025,03/2026,3,0,0,0,expenditure_ge_sanctioned,2026-07,,Maharashtra,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
PN-ahmedabad_-_dholera_pkg_ii_fro-gujarat-nhai,01/2024,01/2024,0,0,0,0,expenditure_ge_sanctioned,2026-06,,Gujarat,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PC-400100,12/2019,06/2026,78,1,1,1,expenditure_ge_sanctioned,2026-07,Water Resources,Andhra Pradesh,UNKNOWN,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
PC-618462,05/2023,08/2026,39,1,1,1,progress_100,2026-07,,Gujarat,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
PC-701719,07/2022,07/2026,48,1,1,1,expenditure_ge_sanctioned,2026-07,Real Estate,Gujarat,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PC-618239,09/2018,07/2025,82,1,1,1,expenditure_ge_sanctioned,2026-07,,Andhra Pradesh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
PC-705863,07/2025,09/2025,2,0,0,0,progress_100,2025-09,,Uttar Pradesh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
PC-618850,07/2020,08/2026,73,1,1,1,"progress_100, expenditure_ge_sanctioned",2026-07,,Himachal Pradesh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PN-transmission_scheme_for_evacua-gujarat-power_grid_corporati,01/2026,03/2025,-10,0,0,0,expenditure_ge_sanctioned,2026-01,Transmission & Distribution,Gujarat,UNKNOWN,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PC-618382,04/2024,05/2025,13,1,1,1,progress_100,2026-05,,Mizoram,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PN-pune_-_miraj-londa_[467_kilome-maharashtr-central_railway,02/2025,02/2025,0,0,0,0,expenditure_ge_sanctioned,2026-04,Railways,Maharashtra,UNKNOWN,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
PC-703586,12/2024,01/2026,13,1,1,1,expenditure_ge_sanctioned,2026-07,,"Multi-States (Karnataka, Tamil Nadu)",UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-706763,10/2026,06/2026,-4,0,0,0,expenditure_ge_sanctioned,2026-07,,Gujarat,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PC-618507,06/2025,08/2026,14,1,1,1,expenditure_ge_sanctioned,2026-07,,Gujarat,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PC-618499,07/2025,08/2026,13,1,1,1,progress_100,2026-07,,Uttar Pradesh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
PN-transmission_system_strengthen-multi-stat-power_grid_corporati,11/2023,11/2023,0,0,0,0,expenditure_ge_sanctioned,2025-11,Transmission & Distribution,"Multi-States (Delhi, Haryana, Rajasthan)",UNKNOWN,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PN-dibrugarh_water_supply_infrast-assam-ministry_of_housing_,12/2025,03/2023,-33,0,0,0,expenditure_ge_sanctioned,2025-11,Waste & Water,Assam,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
PC-618072,07/2024,03/2026,20,1,1,1,progress_100,2026-07,,Nagaland,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PC-705735,03/2027,03/2028,12,1,1,0,expenditure_ge_sanctioned,2026-07,,Maharashtra,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
PN-arjun_sahayak_project_400117-uttar prad-irrigation_&_water_r,10/2025,12/2019,-70,0,0,0,expenditure_ge_sanctioned,2025-09,Water Resources,Uttar Pradesh,UNKNOWN,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PN-rajiv_bhima_lift_irrigation_sc-telangana-irrigation_and_cad-t,06/2026,12/2019,-78,0,0,0,expenditure_ge_sanctioned,2026-07,Water Resources,Telangana,UNKNOWN,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-702639,03/2018,05/2026,98,1,1,1,expenditure_ge_sanctioned,2026-04,Urban Public Transport,Gujarat,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PC-617933,08/2026,08/2026,0,0,0,0,progress_100,2026-05,,Maharashtra,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
PC-400065,05/2025,09/2025,4,1,0,0,progress_100,2025-11,Steel,Odisha,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
PN-challakere_to_hariyur_section_-karnataka-nhai,01/2023,01/2023,0,0,0,0,expenditure_ge_sanctioned,2026-06,,Karnataka,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
PC-619097,05/2020,08/2026,75,1,1,1,"progress_100, expenditure_ge_sanctioned",2026-07,,"Multi-States (Kerala, Puducherry)",UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PC-619122,12/2024,06/2026,18,1,1,1,progress_100,2026-05,,"Multi-States (Delhi, Uttar Pradesh)",UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PC-705444,03/2022,12/2026,57,1,1,1,expenditure_ge_sanctioned,2026-07,,Chhattisgarh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
PC-618165,01/2026,07/2026,6,1,0,0,progress_100,2026-06,,Uttar Pradesh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
PC-618583,01/2024,05/2024,4,1,0,0,progress_100,2026-05,,Bihar,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
PC-618861,07/2023,08/2026,37,1,1,1,expenditure_ge_sanctioned,2026-07,,Bihar,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
PC-603945,12/2019,06/2026,78,1,1,1,expenditure_ge_sanctioned,2026-07,,Odisha,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
PC-618839,02/2022,04/2026,50,1,1,1,progress_100,2026-05,,Bihar,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
PC-701377,12/2019,03/2026,75,1,1,1,expenditure_ge_sanctioned,2026-07,Water Resources,Karnataka,UNKNOWN,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
PC-619137,08/2022,05/2026,45,1,1,1,progress_100,2026-04,,Gujarat,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
PN-chakur_loha_section_of_nh-361_-maharashtr-nhai,03/2021,03/2021,0,0,0,0,expenditure_ge_sanctioned,2026-06,,Maharashtra,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
PC-619136,01/2026,08/2026,7,1,1,0,progress_100,2026-07,,Bihar,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
PC-702808,03/2024,08/2026,29,1,1,1,expenditure_ge_sanctioned,2026-07,,Madhya Pradesh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PC-608922,11/2023,11/2025,24,1,1,1,expenditure_ge_sanctioned,2025-10,,"Multi-States (Delhi, Haryana, Rajasthan)",UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PN-reconstruction_of_existing_2_l-uttarakhan-morth,06/2019,06/2019,0,0,0,0,expenditure_ge_sanctioned,2026-06,,Uttarakhand,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-618515,04/2025,06/2026,14,1,1,1,progress_100,2026-05,,"Multi-States (Karnataka, Maharashtra)",UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PC-619218,10/2021,08/2026,58,1,1,1,progress_100,2026-07,,Karnataka,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
PC-706950,03/2023,06/2026,39,1,1,1,expenditure_ge_sanctioned,2026-06,,"Multi-States (Goa, Karnataka)",UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PN-transmission_system_for_evacua-rajasthan-power_grid_corporati,04/2025,04/2025,0,0,0,0,expenditure_ge_sanctioned,2026-06,Transmission & Distribution,Rajasthan,UNKNOWN,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-618571,12/2025,12/2026,12,1,1,0,expenditure_ge_sanctioned,2026-07,,Bihar,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
PC-709813,10/2027,10/2027,0,0,0,0,expenditure_ge_sanctioned,2026-07,,Gujarat,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PC-617907,09/2024,04/2026,19,1,1,1,progress_100,2026-05,Roads & Highways,Andhra Pradesh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
PC-619147,09/2022,01/2026,40,1,1,1,expenditure_ge_sanctioned,2026-05,,Gujarat,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PC-400115,12/2019,03/2026,75,1,1,1,expenditure_ge_sanctioned,2026-07,Water Resources,Madhya Pradesh,UNKNOWN,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PC-618444,08/2024,07/2026,23,1,1,1,expenditure_ge_sanctioned,2026-06,,Assam,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
PC-618429,04/2022,08/2026,52,1,1,1,expenditure_ge_sanctioned,2026-07,,West Bengal,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-611737,11/2023,10/2025,23,1,1,1,progress_100,2025-10,,Chhattisgarh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
PN-adraj_moti_vijapur_40_kms_6119-gujarat-western_railway_(wr),12/2025,05/2026,5,1,0,0,expenditure_ge_sanctioned,2025-12,Railways,Gujarat,UNKNOWN,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PC-618008,09/2023,12/2024,15,1,1,1,progress_100,2026-05,,Uttar Pradesh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
PC-705359,03/2025,03/2029,48,1,1,1,expenditure_ge_sanctioned,2026-07,,Odisha,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
PC-707215,11/2026,03/2026,-8,0,0,0,expenditure_ge_sanctioned,2026-07,"Tourism, Hospitality & Wellness",Gujarat,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PC-618803,08/2025,12/2026,16,1,1,1,expenditure_ge_sanctioned,2026-07,,Andhra Pradesh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
PN-trivandrum-_kanyakumari_705635-multi-stat-southern_railway_[sr,03/2026,03/2025,-12,0,0,0,expenditure_ge_sanctioned,2026-02,Railways,"Multi-States (Kerala, Tamil Nadu)",UNKNOWN,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-618796,04/2021,08/2026,64,1,1,1,progress_100,2026-07,,Rajasthan,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PC-701391,12/2019,06/2026,78,1,1,1,"progress_100, expenditure_ge_sanctioned",2026-07,,Maharashtra,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
PC-705506,12/2024,11/2025,11,1,1,0,"progress_100, expenditure_ge_sanctioned",2026-07,,Maharashtra,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
PC-709827,12/2025,02/2026,2,0,0,0,progress_100,2026-02,Steel,Chhattisgarh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
PC-618194,02/2020,09/2025,67,1,1,1,expenditure_ge_sanctioned,2026-07,,Andhra Pradesh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
PC-702635,03/2021,09/2026,66,1,1,1,expenditure_ge_sanctioned,2026-07,Urban Public Transport,Karnataka,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
PC-618762,02/2020,08/2026,78,1,1,1,progress_100,2026-07,,Madhya Pradesh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
PN-4l_of_bal_works_of_mahuva_to_k-gujarat-nhai,09/2022,09/2022,0,0,0,0,expenditure_ge_sanctioned,2026-06,,Gujarat,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PC-701228,12/2012,09/2026,165,1,1,1,expenditure_ge_sanctioned,2026-07,,Tamil Nadu,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-705432,05/2015,12/2027,151,1,1,1,expenditure_ge_sanctioned,2026-07,Railways,"Multi-States (Sikkim, West Bengal)",UNKNOWN,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-618849,03/2024,05/2026,26,1,1,1,progress_100,2026-05,,Chhattisgarh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
PC-618298,01/2023,08/2026,43,1,1,1,expenditure_ge_sanctioned,2026-07,,Manipur,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-705588,03/2025,03/2026,12,1,1,0,expenditure_ge_sanctioned,2026-07,,Uttar Pradesh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PC-619145,08/2019,03/2025,67,1,1,1,"progress_100, expenditure_ge_sanctioned",2026-07,,Gujarat,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
PC-618504,12/2023,08/2026,32,1,1,1,expenditure_ge_sanctioned,2026-07,,Gujarat,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PC-400277,12/2025,12/2027,24,1,1,1,expenditure_ge_sanctioned,2026-06,,West Bengal,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-705437,03/2027,12/2027,9,1,1,0,expenditure_ge_sanctioned,2026-06,,Telangana,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-400273,03/2019,02/2026,83,1,1,1,expenditure_ge_sanctioned,2026-07,,West Bengal,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PC-618799,12/2022,11/2026,47,1,1,1,expenditure_ge_sanctioned,2026-07,,Karnataka,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
PC-618372,01/2025,06/2025,5,1,0,0,progress_100,2026-05,,Assam,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
PC-705779,12/2024,03/2026,15,1,1,1,expenditure_ge_sanctioned,2025-11,,Uttar Pradesh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PC-618502,01/2024,06/2026,29,1,1,1,"progress_100, expenditure_ge_sanctioned",2026-05,,Gujarat,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
PC-618692,06/2022,08/2026,50,1,1,1,"progress_100, expenditure_ge_sanctioned",2026-06,,Uttar Pradesh,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
