Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
164,"Thumbipadi-Namakkal from km. 180.00 to km. 248.625 Package No. NS-2/BOT/TN-02
(National Highways Authority of India [NHAI])
(619083)",Tamil Nadu,(08/2006),"02/2009
(-)","255.53
(395.43)"
165,"Start of Karur Bypass - Dindigul from km. 292.600 to km. 305.600 Contract Package
No. NS2/BOT/TN-4
(National Highways Authority of India [NHAI])
(619084)",Tamil Nadu,(10/2006),"04/2009
(-)","461.54
(515.03)"
166,"Chengapalli km 102.035 to Neelambur Km144.680 and Madukkarai Km 170.880 to
Walayar K183.010 Package No. NS-2/BOT/TN-08
(National Highways Authority of India [NHAI])
(619086)",Tamil Nadu,(09/2010),"03/2013
(-)","852
(285.55)"
167,"6-laning of Krishnagiri Km.0.000 to Walajahpet Km.148.300 section on NH-46 under
NHDP-V
(National Highways Authority of India [NHAI])
(619074)",Tamil Nadu,(06/2011),"12/2013
(-)","1673.17
(781.74)"
168,"Salem - Ulundurpet section from km 0.313 to km 136.670 of NH-68
(National Highways Authority of India [NHAI])
(618943)",Tamil Nadu,(01/2008),"01/2011
(-)","861.23
(1019.85)"
169,"Access Controlled Highway of 4 Lane with Paved Shoulders from Tiruvallur Design
Chainage Km 1756 to TN/AP Broder Design Chainage Km 6151 of NH-716 Chennai-
Tirupati Package-1
(National Highways Authority of India [NHAI])
(619161)",Tamil Nadu,"03/2024
(12/2024)","12/2026
(-)","1376.1
(1247.7)"
170,"4L of Padalur - Trichy section from km. 285.00 to km. 325.00 of NH - 45 Pkg VI-C
(National Highways Authority of India [NHAI])
(619113)",Tamil Nadu,(11/2006),"05/2009
(-)","555.8
(235.8)"
171,"Construction of New Double Tier 4L Elevated Corridor from Chennai Port to
Maduravoyal in Chennai District from km -0.342 to Km 20.593 and Package III from
Km 9.700 to Km 14.185
(National Highways Authority of India [NHAI])
(619139)",Tamil Nadu,"03/2023
(11/2023)","05/2026
(-)","1299.36
(1299.36)"
172,"Thanamcherla-Jamandlapally 2LPS
(National Highways Authority of India [NHAI])
(619165)",Telangana,(03/2014),"02/2023
(-)","177.18
(18.65)"
173,"4L Access Controlled Greenfield Highway Section Mancherial Warangal from
Pangidipalle village at Design Ch. 72.350 Km to Oorugonda village at Design Ch.
112.240 KmPackage-III
(National Highways Authority of India [NHAI])
(618811)",Telangana,"03/2023
(06/2025)","06/2027
(-)","1183.71
(1170.64)"
174,"4L Access Controlled Greenfield Highway section on NH163G Warangal-Khammam
from Oorugonda village in Hanamkonda District at Design Ch. 112.240 Km to
Venkatpur village in Warangal District at Design Ch. 150.240 KmPackage-I
(National Highways Authority of India [NHAI])
(618814)",Telangana,"03/2023
(06/2025)","06/2027
(-)","1142.6
(1140.82)"
175,"4L Access Controlled Greenfield Highway section on NH-163G Warangal-Khammam
from Thallasenkesa village at Design Ch. 189.650 km to V.Vekatayapalem village in
Khammam District at Design Ch. 220.480 KmPackage-III
(National Highways Authority of India [NHAI])
(618816)",Telangana,"03/2023
(07/2025)","07/2027
(-)","1105.25
(1098.05)"
