project_id,observation_count,reporting_month,project_name,agency,project_code,ministry,sector,state,approval_date,original_completion_date,revised_completion_date,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,physical_progress_pct,source_file,source_page,extraction_timestamp,historical_obs_count,avg_progress_historical,progress_trend,cost_increase_rate,target_next_progress,target_next_expenditure,target_progress_change
701400,26,2025-07,Thoubal Multipurpose Project,Water Resources Department-MN,701400,Department of Telecommunications,Water Resources,Manipur,04/1997,12/2019,,1449.44,1822.24,1837.91,98.0,FlashReport_July_2025_page35_table1.csv,35,2026-08-28T21:13:50.691466,0,,,,98.0,1837.91,0.0
701412,13,2025-07,North Koel Reservoir Project,"Department of Water Resources, River Development & GR",701412,,,"Multi-States (Bihar, Jharkhand)",01/2021,03/2021,,1622.27,2430.76,142.1,32.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.879910,0,,,,32.0,142.1,0.0
603945,13,2025-07,Integrated Anandpur Barrage Project,Water Resources-OR,603945,,,Odisha,01/1998,12/2019,,567.03,2990.05,2629.74,62.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.879999,0,,,,62.0,2629.74,0.0
701404,13,2025-07,Kanupur Irrigation Project,Irrigation and CAD-TG,701404,,,Odisha,01/2004,12/2019,,989.43,2301.28,2563.56,79.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.880069,0,,,,79.0,2563.56,0.0
701410,13,2025-07,Relining of Rajasthan feeder and Sirhind Feeder canal,Department of Water Resources-PB,701410,,,Punjab,04/2018,06/2021,,1441.26,2462.16,2962.99,80.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.880156,0,,,,80.0,3000.36,0.0
701411,13,2025-07,Shahpur Kandi Dam Project,Department of Water Resources-PB,701411,,,Punjab,04/2018,06/2022,,2285.81,2715.7,2072.33,80.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.880272,0,,,,80.0,2072.33,0.0
400102,13,2025-07,Sri Ram Sagar Project Stage - II,Irrigation and CAD-TG,400102,,,Telangana,04/2005,12/2019,,736.13,949.87,940.7,96.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.880423,0,,,,96.0,940.7,0.0
400103,13,2025-07,Indiramma Flood Flow Canal Project,Irrigation and CAD-TG,400103,,,Telangana,01/2006,12/2019,,1331.3,5940.09,4491.08,92.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.880492,0,,,,92.0,4491.08,0.0
701405,13,2025-07,J. Chokka Rao Devadula Lift Irrigation Scheme,Irrigation and CAD-TG,701405,,,Telangana,04/2006,12/2019,,8200.71,14730.0,4558.89,87.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.880564,0,,,,87.0,4558.89,0.0
701406,12,2025-07,Rajiv Bhima Lift Irrigation Scheme,Irrigation and CAD-TG,701406,,,Telangana,01/2008,12/2019,,1402.0,2509.66,1839.76,100.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.880633,0,,,,100.0,1839.76,0.0
400093,10,2025-07,Saryu Nahar CADWM Project,Irrigation & Water Resources-UP,400093,,,Uttar Pradesh,04/2017,12/2019,,1672.7,1672.7,0.0,0.0,FlashReport_July_2025_page65_table1.csv,65,2026-08-28T21:13:50.880705,0,,,,0.0,0.0,0.0
701395,12,2025-07,Morna [Gureghar] Irrigation Project,"Department of Water Resources, River Development & GR",701395,,,Uttar Pradesh,12/2007,06/2023,,219.9,219.9,0.0,0.0,FlashReport_July_2025_page66_table1.csv,66,2026-08-28T21:13:50.881350,0,,,,0.0,0.0,0.0
701408,13,2025-07,Madhya Ganga canal Phase-II,Irrigation & Water Resources-UP,701408,,,Uttar Pradesh,07/2007,12/2019,,1060.67,4417.21,4415.24,82.0,FlashReport_July_2025_page66_table1.csv,66,2026-08-28T21:13:50.881497,0,,,,82.0,4415.24,0.0
613787,13,2025-07,Jamrani Dam Multipurpose Project,Irrigation-UK,613787,,,Uttarakhand,04/2023,06/2029,,2584.1,2584.1,486.52,16.0,FlashReport_July_2025_page66_table1.csv,66,2026-08-28T21:13:50.881594,0,,,,16.0,968.52,0.0
706724,26,2025-07,Guwahati Airport New Integrated Terminal Building Construction Project,Adani Airport Holdings Limited,706724,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Assam,03/2018,03/2025,,1712.0,1712.0,0.0,94.1,FlashReport_July_2025_page33_table1.csv,33,2026-08-28T21:13:50.679265,0,,,,91.0,2335.44,-3.0999999999999943
706718,26,2025-07,C/o NITB Imphal Airport,Airport Authority of India [AAI],706718,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Manipur,07/2022,07/2024,,499.0,499.0,160.48,41.0,FlashReport_July_2025_page33_table1.csv,33,2026-08-28T21:13:50.679429,0,,,,41.0,154.43,0.0
612793,26,2025-07,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",Airport Authority of India [AAI],612793,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Sikkim,12/2023,02/2026,,323.26,323.26,29.69,12.0,FlashReport_July_2025_page33_table1.csv,33,2026-08-28T21:13:50.679651,0,,,,12.0,29.7,0.0
615820,26,2025-07,TIKAK EXTENSION OCP,MIS MoCoal Integration Logins,615820,Ministry of Civil Aviation,Coal,Assam,07/2022,07/2031,,159.77,159.77,80.84,0.0,FlashReport_July_2025_page33_table1.csv,33,2026-08-28T21:13:50.679856,0,,,,0.0,80.84,0.0
615821,26,2025-07,TIRAP OCP,MIS MoCoal Integration Logins,615821,Ministry of Civil Aviation,Coal,Assam,11/2022,11/2030,,289.46,289.46,105.47,0.0,FlashReport_July_2025_page33_table1.csv,33,2026-08-28T21:13:50.679995,0,,,,0.0,105.47,0.0
612898,26,2025-07,Construction of Permanent Campus of National Institute of Technology Arunachal Pradesh,"National Institute of Technology, Arunachal Pradesh",612898,Ministry of Civil Aviation,Education,Arunachal Pradesh,03/2013,08/2026,,592.61,592.61,549.96,75.0,FlashReport_July_2025_page33_table1.csv,33,2026-08-28T21:13:50.680233,0,,,,75.0,549.96,0.0
606112,26,2025-07,Tezpur University Projects,Tezpur University,606112,Ministry of Civil Aviation,Education,Assam,06/2021,11/2023,,153.71,153.71,288.87,93.0,FlashReport_July_2025_page33_table1.csv,33,2026-08-28T21:13:50.680364,0,,,,95.0,54.05,2.0
612885,23,2025-07,Construction and Developement of National Institute of Technology Meghalaya Permanent Campus at Sohra,"National Institute of Technology, Meghalaya",612885,Ministry of Civil Aviation,Education,Meghalaya,09/2014,03/2022,,494.52,494.52,413.57,86.0,FlashReport_July_2025_page33_table1.csv,33,2026-08-28T21:13:50.680516,0,,,,86.0,413.57,0.0
612876,25,2025-07,"Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl",Ministry of Education,612876,Ministry of Civil Aviation,Education,Mizoram,05/2014,12/2029,,474.23,474.23,167.55,4.0,FlashReport_July_2025_page33_table1.csv,33,2026-08-28T21:13:50.680658,0,,,,4.0,167.55,0.0
613013,25,2025-07,Establishment of NIT Nagaland,NIT Nagaland,613013,Ministry of Civil Aviation,Education,Nagaland,09/2012,12/2025,,275.63,275.63,257.82,93.0,FlashReport_July_2025_page33_table1.csv,33,2026-08-28T21:13:50.680797,0,,,,95.0,260.1,2.0
609736,25,2025-07,"Construction of Sikkim University Campus Phase-I Package-II at Yangang, South Sikkim",Sikkim University,609736,Ministry of Civil Aviation,Education,Sikkim,01/2022,01/2025,,314.06,314.06,238.22,82.0,FlashReport_July_2025_page33_table1.csv,33,2026-08-28T21:13:50.680942,0,,,,82.0,238.22,0.0
612883,25,2025-07,Establishment of Permanent Campus of NIT SIkkim at Khamdong-Gangtok District,Ministry of Education,612883,Ministry of Civil Aviation,Education,Sikkim,03/2024,02/2028,,685.76,610.76,121.56,7.0,FlashReport_July_2025_page33_table1.csv,33,2026-08-28T21:13:50.681087,0,,,,9.0,121.56,2.0
602182,26,2025-07,Dibang Multipurpose Project,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],602182,Ministry of Civil Aviation,Electricity Generation,Arunachal Pradesh,02/2023,02/2032,,31876.39,31876.4,3436.38,16.0,FlashReport_July_2025_page33_table1.csv,33,2026-08-28T21:13:50.681337,0,,,,16.0,3553.9,0.0
611698,26,2025-07,240MW Heo HE Project,North Eastern Electric Power Corporation Limited,611698,Ministry of Civil Aviation,Electricity Generation,Arunachal Pradesh,05/2025,07/2029,,1938.85,1938.85,49.31,3.0,FlashReport_July_2025_page33_table1.csv,33,2026-08-28T21:13:50.681490,0,,,,3.0,49.31,0.0
611699,26,2025-07,186 MW Tato-I H E Project,North Eastern Electric Power Corporation Limited,611699,Ministry of Civil Aviation,Electricity Generation,Arunachal Pradesh,05/2025,07/2029,,1750.07,1750.07,102.79,2.0,FlashReport_July_2025_page33_table1.csv,33,2026-08-28T21:13:50.681683,0,,,,2.0,102.79,0.0
602096,26,2025-07,Subansiri Lower HE Project [2000 MW],National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],602096,Ministry of Civil Aviation,Electricity Generation,"Multi-States (Arunachal Pradesh, Assam)",09/2003,09/2010,,6285.33,26075.5,24685.13,96.0,FlashReport_July_2025_page33_table1.csv,33,2026-08-28T21:13:50.681844,0,,,,96.0,24880.95,0.0
602181,26,2025-07,"TEESTA-VI HE PROJECT, SIKKIM [500 MW], executed by LANCO TEESTA HYDRO POWER LIMITED [A wholly owned Subsidiary of NHPC LTD. acquired through NCLT]",National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],602181,Ministry of Civil Aviation,Electricity Generation,Sikkim,03/2019,03/2024,,5748.04,5748.04,4495.28,68.0,FlashReport_July_2025_page33_table1.csv,33,2026-08-28T21:13:50.682018,0,,,,69.0,4576.93,1.0
605156,26,2025-07,Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] - A wholly owned subsidiary of NHPC Ltd. acquired through NCLT,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],605156,Ministry of Civil Aviation,Electricity Generation,Sikkim,03/2021,05/2024,,938.29,1828.11,1554.15,90.0,FlashReport_July_2025_page33_table1.csv,33,2026-08-28T21:13:50.682187,0,,,,91.0,1584.13,1.0
605156,26,2025-07,Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] -A wholly owned subsidiary of NHPC Ltd. acquired through NCLT,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],605156,,,Sikkim,03/2021,05/2024,,938.29,1828.11,1554.15,90.0,FlashReport_July_2025_page43_table1.csv,43,2026-08-28T21:13:50.726604,0,,,,91.0,1584.13,1.0
602223,26,2025-07,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,Power Grid Corporation of India Limited [POWERGRID],602223,Ministry of Civil Aviation,Transmission & Distribution,"Multi-States (Sikkim, Arunachal Pradesh)",01/2016,12/2018,,4754.42,4754.42,7321.07,81.0,FlashReport_July_2025_page33_table1.csv,33,2026-08-28T21:13:50.682747,0,,,,81.0,7462.2,0.0
602223,26,2025-07,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,Power Grid Corporation of India Limited [POWERGRID],602223,,,"Multi-States (Arunachal Pradesh, Sikkim)",01/2016,12/2018,,4754.42,4754.42,7321.07,81.0,FlashReport_July_2025_page44_table1.csv,44,2026-08-28T21:13:50.735020,0,,,,81.0,7462.2,0.0
607709,26,2025-07,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],Power Grid Corporation of India Limited [POWERGRID],607709,Ministry of Civil Aviation,Transmission & Distribution,"Multi-States (Meghalaya, Manipur, Mizoram, Tripura, Nagaland, Assam)",03/2016,12/2018,,5111.33,6700.0,5253.47,96.0,FlashReport_July_2025_page33_table1.csv,33,2026-08-28T21:13:50.682397,0,,,,96.0,5277.24,0.0
607709,26,2025-07,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],Power Grid Corporation of India Limited [POWERGRID],607709,,,"Multi-States (Assam, Manipur, Meghalaya, Mizoram, Nagaland, Tripura)",03/2016,12/2018,,5111.33,6700.0,5253.47,96.0,FlashReport_July_2025_page44_table1.csv,44,2026-08-28T21:13:50.735186,0,,,,96.0,5277.24,0.0
709755,26,2025-07,"Setting up of new rail fed POL facility at Kamardanga, Assam",Hindustan Petroleum Corporation Limited [HPCL],709755,Ministry of Petroleum & Natural Gas,Energy Storage,Assam,03/2023,07/2027,,384.04,384.04,110.44,48.0,FlashReport_July_2025_page34_table1.csv,34,2026-08-28T21:13:50.685724,0,,,,52.0,120.4,4.0
709754,26,2025-07,"Construction of LPG Facilities at Kamardanga, Assam",Hindustan Petroleum Corporation Limited,709754,Ministry of Petroleum & Natural Gas,Energy Storage,Assam,03/2023,07/2027,,156.36,156.36,49.78,39.0,FlashReport_July_2025_page34_table1.csv,34,2026-08-28T21:13:50.685584,0,,,,46.0,54.15,7.0
701349,25,2025-07,Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal [COIT] at Paradip,Ministry of Petroleum & Natural Gas,701349,Ministry of Petroleum & Natural Gas,Energy Storage,Assam,01/2019,07/2024,,10228.0,11407.0,9701.95,86.0,FlashReport_July_2025_page34_table1.csv,34,2026-08-28T21:13:50.685432,0,,,,87.0,9766.72,1.0
701349,25,2025-07,Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal [COIT] at Paradip,Ministry of Petroleum & Natural Gas,701349,Ministry of Petroleum & Natural Gas,Energy Storage,"Multi-States (Assam, Bihar, Jharkhand, Odisha, West Bengal)",01/2019,07/2024,,10228.0,11407.0,9701.95,86.0,FlashReport_July_2025_page49_table1.csv,49,2026-08-28T21:13:50.767867,0,,,,87.0,9766.72,1.0
400035,22,2025-07,"Grass Root Rail-fed Depot at Sekerkote, Agartala as resitement of existing Dharmanagar Depot",Indian Oil Corporation Limited [IOCL],400035,Ministry of Petroleum & Natural Gas,Energy Storage,Tripura,06/2022,09/2025,,656.0,656.0,465.73,84.0,FlashReport_July_2025_page34_table1.csv,34,2026-08-28T21:13:50.685880,0,,,,86.0,478.11,2.0
709865,25,2025-07,Power Recovery Turbine [PRT] in PFCCU unit as an Energy Conservation Scheme,NRL,709865,Ministry of Petroleum & Natural Gas,Oil & Gas,Assam,04/2023,12/2024,,293.5,293.5,97.22,93.0,FlashReport_July_2025_page34_table1.csv,34,2026-08-28T21:13:50.687661,0,,,,94.0,97.22,1.0
709864,25,2025-07,DCU Revamp Project,NRL,709864,Ministry of Petroleum & Natural Gas,Oil & Gas,Assam,08/2021,07/2024,,370.0,370.0,249.41,57.0,FlashReport_July_2025_page34_table1.csv,34,2026-08-28T21:13:50.687528,0,,,,60.0,253.17,3.0
709850,25,2025-07,Borholla GGS Life Extension Project [BLEP],Ministry of Petroleum & Natural Gas,709850,Ministry of Petroleum & Natural Gas,Oil & Gas,Assam,09/2023,05/2026,,198.7,198.7,36.78,29.0,FlashReport_July_2025_page34_table1.csv,34,2026-08-28T21:13:50.687411,0,,,,30.0,36.8,1.0
709847,25,2025-07,Pipeline Network Project Rudrasagar,Ministry of Petroleum & Natural Gas,709847,Ministry of Petroleum & Natural Gas,Oil & Gas,Assam,01/2023,04/2026,,344.99,344.99,210.89,46.0,FlashReport_July_2025_page34_table1.csv,34,2026-08-28T21:13:50.687279,0,,,,47.0,211.05,1.0
604791,26,2025-07,Numaligarh Refinery Expansion Project,Ministry of Petroleum & Natural Gas,604791,Ministry of Petroleum & Natural Gas,Oil & Gas,Assam,07/2020,07/2024,,12366.0,22494.0,16502.36,75.0,FlashReport_July_2025_page34_table1.csv,34,2026-08-28T21:13:50.686097,0,,,,76.0,16764.09,1.0
604863,26,2025-07,Development of Surface Facilities for production and evacuation of Crude Oil and Natural Gas from Nadua and East Khagorija,Ministry of Petroleum & Natural Gas,604863,Ministry of Petroleum & Natural Gas,Oil & Gas,Assam,01/2018,02/2020,,682.9,726.93,488.37,94.0,FlashReport_July_2025_page34_table1.csv,34,2026-08-28T21:13:50.686411,0,,,,94.0,489.3,0.0
709779,25,2025-07,Capacity Expansion of Digboi Refinery from 0.65 to 1.0 MMTPA,MinistryofPetroleumNaturalGas,709779,Ministry of Petroleum & Natural Gas,Oil & Gas,Assam,06/2022,03/2026,,768.0,740.0,99.02,35.0,FlashReport_July_2025_page34_table1.csv,34,2026-08-28T21:13:50.687157,0,,,,39.0,107.72,4.0
607701,19,2025-07,"Guwahati Refinery Expansion [1.0 to 1.2 MMTPA] along with installation of CRU, Guwahati Refinery",Ministry of Petroleum & Natural Gas,607701,Ministry of Petroleum & Natural Gas,Oil & Gas,Assam,05/2021,10/2023,,412.3,577.0,430.83,84.0,FlashReport_July_2025_page34_table1.csv,34,2026-08-28T21:13:50.686567,0,,,,85.0,430.83,1.0
709776,25,2025-07,Augmentation/Revamping of Facilities at existing Guwahati Terminal at Betkuchi,MinistryofPetroleumNaturalGas,709776,Ministry of Petroleum & Natural Gas,Oil & Gas,Assam,04/2022,09/2026,,277.0,323.09,185.18,67.0,FlashReport_July_2025_page34_table1.csv,34,2026-08-28T21:13:50.687015,0,,,,68.0,185.18,1.0
616858,25,2025-07,"Construction of Field Gas Gathering Station at Baghjan area for collection, processing & transportation of natural Gas to be produced from Baghjan Field",Ministry of Petroleum & Natural Gas,616858,Ministry of Petroleum & Natural Gas,Oil & Gas,Assam,12/2020,03/2024,,430.76,430.76,326.12,85.0,FlashReport_July_2025_page34_table1.csv,34,2026-08-28T21:13:50.686734,0,,,,85.0,327.27,0.0
701346,26,2025-07,North East Gas Grid,Ministry of Petroleum & Natural Gas,701346,Ministry of Petroleum & Natural Gas,Oil & Gas,"Multi-States (Sikkim, Arunachal Pradesh, Nagaland, Meghalaya, Assam, Mizoram, Tripura, Manipur)",04/2020,03/2024,,9265.0,9265.0,6375.02,85.0,FlashReport_July_2025_page34_table1.csv,34,2026-08-28T21:13:50.687807,0,,,,85.0,6393.85,0.0
701346,26,2025-07,North East Gas Grid,Ministry of Petroleum & Natural Gas,701346,,,"Multi-States (Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim, Tripura, West Bengal)",04/2020,03/2024,,9265.0,9265.0,6375.02,85.0,FlashReport_July_2025_page51_table1.csv,51,2026-08-28T21:13:50.787200,0,,,,85.0,6393.85,0.0
709786,25,2025-07,"Augmentation/ Revamping of Dimapur Depot, Dimapur",MinistryofPetroleumNaturalGas,709786,Ministry of Petroleum & Natural Gas,Oil & Gas,Nagaland,08/2023,11/2027,,227.62,227.62,9.01,20.0,FlashReport_July_2025_page34_table1.csv,34,2026-08-28T21:13:50.687965,0,,,,22.0,9.12,2.0
709837,25,2025-07,"Creation of Gas Dehydration Facilities, Tripura Asset",Oil and Natural Gas Corporation Limited [ONGC],709837,Ministry of Petroleum & Natural Gas,Oil & Gas,Tripura,03/2022,05/2024,,209.33,131.51,65.97,62.0,FlashReport_July_2025_page34_table1.csv,34,2026-08-28T21:13:50.688107,0,,,,62.0,68.88,0.0
705572,26,2025-07,Doubling of New Bonggigaon to Kamakhya via Goalpara - 176 km,Northeast Frontier Railway [NFR],705572,Ministry of Petroleum & Natural Gas,Railways,Assam,09/2016,03/2026,,4060.0,4961.0,3683.75,93.0,FlashReport_July_2025_page34_table1.csv,34,2026-08-28T21:13:50.688480,0,,,,93.0,3683.75,0.0
706922,24,2025-07,Guwahati-Dibrugarh via Tinsukia & Simaluguri-Dibrugarh,Central Organisation for Railway Electrification [CORE],706922,Ministry of Petroleum & Natural Gas,Railways,Assam,09/2018,09/2020,,890.36,889.36,391.73,89.0,FlashReport_July_2025_page34_table1.csv,34,2026-08-28T21:13:50.688634,0,,,,89.0,391.73,0.0
705401,26,2025-07,Murkongselek-Pasighat,Northeast Frontier Railway [NFR],705401,Ministry of Petroleum & Natural Gas,Railways,"Multi-States (Arunachal Pradesh, Assam)",03/2012,03/2025,,435.0,1250.0,901.0,56.0,FlashReport_July_2025_page34_table1.csv,34,2026-08-28T21:13:50.688780,0,,,,56.0,901.0,0.0
