project_id,observation_count,reporting_month,project_name,agency,project_code,ministry,sector,state,approval_date,original_completion_date,revised_completion_date,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,physical_progress_pct,source_file,source_page,extraction_timestamp,cost_overrun_ratio,cost_overrun_5pct,cost_overrun_10pct,cost_overrun_20pct,delay_months,delay_gt_3_months,delay_gt_6_months,delay_gt_12_months,future_3m_cost_revision,future_6m_cost_revision,future_3m_progress_stall,future_6m_progress_stall
619136,8,2026-05,Rehabilitation and Upgradation of Chorma - Bairgania Section of National Highway No 227F to 2 lane with paved shoulders from Design Ch.0.000 to Ch. 34.566,National Highways Authority of India [NHAI] -) (11803,619136,,,Bihar,06/2022,01/2026,06/2026,610.78,628.65,335.08,100.0,FlashReport_May2026_page104_table0.csv,104,2026-08-28T21:13:52.655307,-0.4513900258685615,0,0,0,5,1,0,0,0,0,1,1
619320,3,2026-04,Muzaffarpur - Sonbarsa Section of NH-77 from km 2.800 to km 89.000,NHAI -) (-,619320,,,Bihar,05/2011,11/2013,06/2026,2290.72,2311.1,468.71,100.0,FlashReport_April2026_page105_table0.csv,105,2026-08-28T21:13:47.929548,-0.7953874764266257,0,0,0,151,1,1,1,0,0,1,1
618674,8,2026-05,Development of 6L Sargi Basanwahi Section from km 42.800 to km 99.500 of NH- 130CD Pkg-CG-2,National Highways Authority of India [NHAI] N24001588) (10477,618674,,,Chhattisgarh,12/2021,01/2025,06/2026,1470.73,1461.81,756.12,100.0,FlashReport_May2026_page105_table0.csv,105,2026-08-28T21:13:52.660185,-0.48588796040061744,0,0,0,17,1,1,1,0,0,1,1
618849,6,2025-12,Conversion of Partially Excavated Escape Tunnel to Uni-Directional 2L Tunnelincluding construction of cross passages and approach roads on either side of the tunnel from Km 12.732 to Km 14.568 of Kiratpur to Nerchowk Section of NH-21,National Highways Authority of India [NHAI],618849,,,Chhattisgarh,05/2022,03/2024,08/2025,444.21,412.88,394.5,100.0,FlashReport_December_2025_page83_table1.csv,83,2026-08-28T21:13:49.131829,-0.1119065306949415,0,0,0,17,1,1,1,0,0,1,1
619103,8,2026-02,4/6 Laning of Raipur-Simga Pkg-I from km. 0.00 to km. 48.58,National Highways Authority of India [NHAI] -,619103,,,Chhattisgarh,04/2016,04/2018,,1096.52,1172.36,24.03,100.0,FlashReport_February_2026_page114_table1.csv,114,2026-08-28T21:13:49.303533,-0.9780852150439573,0,0,0,0,0,0,0,0,0,1,1
619090,7,2026-01,8L of Dwarka Expressway Pkg-II RuB near Dwarka Sector 21-DL/HR Border from 5.300 Km.to 9.500 Km. of NH-248BB,National Highways Authority of India [NHAI],619090,,,Delhi,01/2018,10/2021,07/2025,2067.67,2670.22,628.68,100.0,FlashReport_January_2026_page99_table1.csv,99,2026-08-28T21:13:50.615772,-0.6959476125300459,0,0,0,45,1,1,1,0,0,1,1
618460,7,2026-03,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-28 Ch.756052 to Ch.781282,National Highways Authority of India [NHAI] N24001519,618460,,,Gujarat,09/2020,11/2023,04/2026,1263.38,1266.98,864.33,100.0,FlashReport_March_2026_page104_table1.csv,104,2026-08-28T21:13:51.904281,-0.31585904478462534,0,0,0,29,1,1,1,0,0,1,1
618462,8,2026-03,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-31 Ch.824920 to Ch.844382 [Junction near Pratap nagar Village - Junction near Dodka Village],National Highways Authority of India [NHAI] N24001520,618462,,,Gujarat,11/2019,05/2023,04/2026,1644.85,1651.14,961.69,100.0,FlashReport_March_2026_page104_table1.csv,104,2026-08-28T21:13:51.904487,-0.4153327051098884,0,0,0,35,1,1,1,0,0,1,1
618501,6,2026-02,Ahmedabad - Dholera Pkg I from km. 0.00 to km. 22.00 [Sardar Patel Ring Road - Sindhrej Village],National Highways Authority of India [NHAI] N24001443,618501,,,Gujarat,05/2020,01/2024,10/2024,1298.0,1421.05,1007.59,100.0,FlashReport_February_2026_page115_table1.csv,115,2026-08-28T21:13:49.310112,-0.2237365177195686,0,0,0,9,1,1,0,0,0,1,1
618502,6,2026-04,Ahmedabad - Dholera Pkg II from km. 22.00 to km. 48.52 [Sindhrej Village - Vejallka Village],National Highways Authority of India [NHAI] N24001444) (10360,618502,,,Gujarat,05/2020,01/2024,05/2026,1415.34,1729.69,1354.93,100.0,FlashReport_April2026_page108_table0.csv,108,2026-08-28T21:13:47.939643,-0.042682323681942025,0,0,0,28,1,1,1,0,0,1,1
618503,8,2026-01,Ahmedabad - Dholera Pkg III from km. 48.52 to km. 71.06 [Vejallka Village - Start of DSIR zone],National Highways Authority of India [NHAI],618503,,,Gujarat,05/2020,07/2023,05/2024,1034.04,1155.41,947.31,100.0,FlashReport_January_2026_page100_table1.csv,100,2026-08-28T21:13:49.978815,-0.08387489845653939,0,0,0,10,1,1,0,0,0,1,1
618699,5,2026-02,Pipli Bhavnagar-Package 1 from km 136.025 to km 169.328,National Highways Authority of India [NHAI] -,618699,,,Gujarat,03/2018,09/2021,,819.14,1297.38,188.7,100.0,FlashReport_February_2026_page116_table1.csv,116,2026-08-28T21:13:49.314480,-0.7696364479820299,0,0,0,0,0,0,0,0,0,1,1
618834,6,2025-12,4L Kodinar - Veraval Package VI from km. 222.400 to km. 230.00 Kodinar Bypass of NH-8E NH 51 new,National Highways Authority of India [NHAI],618834,,,Gujarat,03/2022,09/2023,,162.73,192.01,162.0,100.0,FlashReport_December_2025_page84_table1.csv,84,2026-08-28T21:13:49.136263,-0.004485958335893714,0,0,0,0,0,0,0,0,0,1,1
618835,6,2025-12,4L of Bal Works of Talaja - Mahuva from 54.990 km. to 100.450 km. of Old NH-8E Package-II,National Highways Authority of India [NHAI],618835,,,Gujarat,08/2020,09/2022,,698.4,735.51,418.26,100.0,FlashReport_December_2025_page84_table1.csv,84,2026-08-28T21:13:49.136422,-0.4011168384879725,0,0,0,0,0,0,0,0,0,1,1
619067,6,2026-01,6L of Chiloda-Naroda section from Km. 540.595 to Km. 555.595 of NH-8Package-VII,National Highways Authority of India [NHAI],619067,,,Gujarat,05/2017,05/2019,07/2021,356.6,463.03,39.06,100.0,FlashReport_January_2026_page101_table1.csv,101,2026-08-28T21:13:49.983374,-0.8904655075715087,0,0,0,26,1,1,1,0,0,1,1
619137,5,2026-01,4L of Dwarka-Khambaliya-Devariya section from km 203.500 to km 176.500 and from km 171.800 to km 125.000 of NH-151A,National Highways Authority of India [NHAI],619137,,,Gujarat,01/2019,08/2022,06/2023,1024.69,1753.95,542.11,100.0,FlashReport_January_2026_page101_table1.csv,101,2026-08-28T21:13:49.983623,-0.4709521904185656,0,0,0,10,1,1,0,0,0,1,1
619145,8,2026-01,Four Laning of Una to Kodinar from km. 180.478 to km. 221.610 Package-V,National Highways Authority of India [NHAI],619145,,,Gujarat,02/2017,08/2019,,877.71,1126.66,114.11,100.0,FlashReport_January_2026_page101_table1.csv,101,2026-08-28T21:13:49.983714,-0.8699912271707055,0,0,0,0,0,0,0,0,0,1,1
619148,6,2026-01,4L of Bhavnagar - Talaja Package-I from Km. 6.945 to Km. 54.990 of Old NH-8E,National Highways Authority of India [NHAI],619148,,,Gujarat,02/2017,08/2019,,1185.66,1343.16,53.18,100.0,FlashReport_January_2026_page101_table1.csv,101,2026-08-28T21:13:49.983994,-0.9551473440952718,0,0,0,0,0,0,0,0,0,1,1
618850,8,2026-01,Nerchowk km 190.000 to Pandoh including Pandoh bypass km221.305,National Highways Authority of India [NHAI],618850,,,Himachal Pradesh,03/2016,07/2020,07/2025,1464.12,1651.67,841.02,100.0,FlashReport_January_2026_page101_table1.csv,101,2026-08-28T21:13:49.986832,-0.42557987050241786,0,0,0,60,1,1,1,0,0,1,1
618852,8,2025-12,4L Sundar Nagar Bypass from Km.173.900 to Km.179.600 of NH-21,National Highways Authority of India [NHAI],618852,,,Himachal Pradesh,02/2022,06/2024,,191.11,192.11,181.27,100.0,FlashReport_December_2025_page85_table1.csv,85,2026-08-28T21:13:49.140412,-0.05148867144576419,0,0,0,0,0,0,0,0,0,1,1
618220,5,2026-03,Reconstruction and widening to 2 lane with paved shoulder from existing chainage km 102000 to km 134950 Design chainage km 90150 to km 116980 including construction of Naushera Tunnel Total length of tunnel 0.700 km under 31 TF on Akhnoor-Poonch road NH-144A in the UT of Jammu & Kashmir under Project Sampark BRO on EPC mode Package-V Job no NH-144A-J&K-2020-21-104,MoRTH N24001897,618220,,,Jammu and Kashmir,03/2021,07/2024,03/2026,642.24,572.51,0.0,100.0,FlashReport_March_2026_page108_table1.csv,108,2026-08-28T21:13:51.927079,-1.0,0,0,0,20,1,1,1,0,0,1,1
618000,8,2026-06,Widening to 2-Lane with Paved Shoulders from Km 116.800 to 149.070Design Changes on Hosadurga - Holalkere Section of NH-173 in the State of Karnataka on EPC mode under Annual Plan 2021-22 Job no. NH-173-KNT-2021-22-946,MoRTH -) (-,618000,,,Karnataka,03/2022,02/2024,06/2026,170.34,147.39,106.96,100.0,FlashReport_June_2026_page117_table0.csv,117,2026-08-28T21:13:51.431429,-0.37207937067042396,0,0,0,28,1,1,1,0,0,1,1
619070,4,2026-02,Tumkur-Chitradurga,National Highways Authority of India [NHAI] -,619070,,,Karnataka,06/2011,12/2013,,839.0,47.44,0.78,100.0,FlashReport_February_2026_page125_table1.csv,125,2026-08-28T21:13:49.366192,-0.9990703218116805,0,0,0,0,0,0,0,0,0,1,1
619144,5,2026-02,Hospet - Chitradurga from km. 299.00 to km. 418.750,National Highways Authority of India [NHAI] -,619144,,,Karnataka,02/2016,08/2018,,1519.72,387.48,3.02,100.0,FlashReport_February_2026_page125_table1.csv,125,2026-08-28T21:13:49.368128,-0.998012791830074,0,0,0,0,0,0,0,0,0,1,1
619218,7,2026-02,4L Tumkur-Shimoga Pkg-I from Mallasandra to Karadi village of NH-206 from Km. 12.300 to Km. 65.195,National Highways Authority of India [NHAI] -,619218,,,Karnataka,02/2018,10/2021,10/2024,1364.14,1692.12,177.0,100.0,FlashReport_February_2026_page126_table1.csv,126,2026-08-28T21:13:49.371294,-0.8702479217675605,0,0,0,36,1,1,1,0,0,1,1
618598,8,2026-01,6L Minor Bridge Paloli Palam at km. 203.160 & Major Bridge Morad at km. 204.895 and allied works,National Highways Authority of India [NHAI],618598,,,Kerala,03/2020,06/2022,02/2024,210.0,216.94,70.89,100.0,FlashReport_January_2026_page107_table1.csv,107,2026-08-28T21:13:50.016249,-0.6624285714285714,0,0,0,20,1,1,1,0,0,1,1
618599,8,2026-06,6L of Ramanatukkara Junction to start of Valanchery bypass section of NH-66,NHAI -) (-,618599,,,Kerala,01/2021,07/2024,07/2026,4924.11,4919.46,3635.17,100.0,FlashReport_June_2026_page120_table0.csv,120,2026-08-28T21:13:51.446806,-0.26176100858835394,0,0,0,24,1,1,1,0,0,1,1
618600,8,2026-06,6L of Valanchery bypass to Kappirikkad of NH 66 from km. 298500 to km 335850,NHAI -) (-,618600,,,Kerala,02/2021,07/2024,07/2026,4023.94,4023.94,2476.49,100.0,FlashReport_June_2026_page120_table0.csv,120,2026-08-28T21:13:51.446977,-0.38456090299557155,0,0,0,24,1,1,1,0,0,1,1
617915,7,2026-06,Upgradation of Dindori-Sagartola-kabichabutra MP-CG border section of NH -45 from km 000Design to km 77.00 Design to Two lane with paved shoulder configration along with one time improvement in 04 nos. of bypaased built-up areas in a total length of 9.1 km in the state of Madhya Pradesh on EPC mode.,MoRTH -) (-,617915,,,Madhya Pradesh,01/2022,09/2025,07/2026,329.14,319.09,0.0,100.0,FlashReport_June_2026_page121_table0.csv,121,2026-08-28T21:13:51.450581,-1.0,0,0,0,10,1,1,0,,,,
618762,7,2026-02,Itarsi Km. 63.000 to Betul Km. 137.000 of NH-69 in Madhya Pradesh,National Highways Authority of India [NHAI] -,618762,,,Madhya Pradesh,08/2017,02/2020,02/2025,950.27,788.33,395.04,100.0,FlashReport_February_2026_page129_table1.csv,129,2026-08-28T21:13:49.389955,-0.5842865711850316,0,0,0,60,1,1,1,0,0,1,1
617933,5,2026-03,Up-gradation to four lane/ Two lane with paved shoulders configuration of Kalyan - Murbad - Malshej Ghat - Nirmal Road NH- 61 km 15/200 to Km 38/00 and from Km. 58/00 to Km 84/00 Design length 48.58 km of NH-61 on EPC Mode in Thane District in the state of Maharashtra,MoRTH N24002174,617933,,,Maharashtra,02/2023,08/2026,08/2026,984.07,984.07,0.0,100.0,FlashReport_March_2026_page119_table1.csv,119,2026-08-28T21:13:51.989364,-1.0,0,0,0,0,0,0,0,0,0,1,1
618099,5,2026-02,"Rehabilitation & up-gradation for Talere Gaganbawada - kolhapur Road NH 166G stretch start from km. 0/00 to Km. 06/00 and km. 13/00 to km 19/440 of NH-166G, length 12.440 km in the State of Maharashtra.",MoRTH -,618099,,,Maharashtra,03/2024,04/2026,,164.13,164.13,98.68,100.0,FlashReport_February_2026_page132_table1.csv,132,2026-08-28T21:13:49.405002,-0.3987692682629622,0,0,0,0,0,0,0,0,0,1,1
618174,7,2026-04,Rehabilitation and Upgradation to two lane with paved shoulder configuration of NH- 752G from Sakri to Pimpalner Section Design Ch km 0000 to Ch km 21411 in the state of Maharashtra on EPC Mode. Length 21.411 km.,MoRTH -) (-,618174,,,Maharashtra,03/2024,10/2026,10/2026,226.58,226.58,0.0,100.0,FlashReport_April2026_page126_table0.csv,126,2026-08-28T21:13:48.017607,-1.0,0,0,0,0,0,0,0,0,0,1,1
618188,8,2026-07,Rehabilitation and Up-gradation to 2 lane with paved shoulder configuration of Mahud Sangola road NH 965 G 159400 to 161900and 162400 to 183960 Design Chainage from km. 32/300 to km. 34/800 and km. 35/800 to km. 56/860 Rigid Pavement on EPC mode in the State of Maharashtra.,MoRTH -) (-,618188,,,Maharashtra,02/2023,05/2025,08/2026,253.78,253.78,98.95,100.0,FlashReport_July_2026_page119_table0.csv,119,2026-08-28T21:13:50.964942,-0.6100953581842541,0,0,0,15,1,1,1,,,,
618652,5,2026-02,Chakur Loha Section of NH-361 from km 114.600 to km 187.80,National Highways Authority of India [NHAI] -,618652,,,Maharashtra,03/2018,03/2021,02/2024,1241.38,3342.11,785.13,100.0,FlashReport_February_2026_page134_table1.csv,134,2026-08-28T21:13:49.417420,-0.36753451803637893,0,0,0,35,1,1,1,0,0,1,1
618346,16,2026-05,Widening to 2-lane with Hard shoulder of Churachandpur to Tuivai Section of NH- 102B from km 32.835 to km 48.587 in the State of Manipur on EPC mode under NHO Package-2A,NHIDCL N24001270) (-,618346,,,Manipur,04/2020,06/2022,03/2026,232.99,232.99,150.9,100.0,FlashReport_May2026_page129_table0.csv,129,2026-08-28T21:13:52.754246,-0.3523327181424095,0,0,0,45,1,1,1,0,0,1,1
618347,16,2026-05,Widening to 2-lane with Hard shoulder of Churachandpur to Tuivai Section of NH- 102B from km 13.747 to km 32.835 in the State of Manipur on EPC mode under NHO Package-1B,NHIDCL N24001269) (-,618347,,,Manipur,04/2020,06/2022,03/2026,241.52,241.52,152.86,100.0,FlashReport_May2026_page129_table0.csv,129,2026-08-28T21:13:52.754436,-0.3670917522358397,0,0,0,45,1,1,1,0,0,1,1
618356,16,2026-02,Construction of 2 -Lane with paved shoulders road from Tamenglong to Mahur in the state of Manipur from km 31.430 at Old Tamenglong to km 43.480 ending near Phelong on EPC Mode Package-3,NHIDCL N24001354,618356,,,Manipur,03/2021,12/2022,12/2025,234.08,234.08,196.29,100.0,FlashReport_February_2026_page137_table1.csv,137,2026-08-28T21:13:49.430212,-0.16144053315105955,0,0,0,36,1,1,1,0,0,1,1
618415,16,2026-02,"Improvement of existing road to 2 laning with Hard Shoulders of Maram-Peren section Package-1B, length- 17.660 km from Design Chainage 22.340 km to 40.000 km on NH-129A in the State of Manipur on EPC mode",NHIDCL N24001350,618415,,,Manipur,02/2021,12/2022,04/2025,188.36,188.36,0.0,100.0,FlashReport_February_2026_page137_table1.csv,137,2026-08-28T21:13:49.430881,-1.0,0,0,0,28,1,1,1,0,0,1,1
618377,15,2026-06,Improvement/Widening to 2-L with Paved Shoulder/4-L from Km 81740 to Km 93490 design Km 0000 to Km 10670 of NH-40 New NH-106 & 206 section & 4-L from design Km 0.00 to Km 0.930 of NH-44 section between Shillong-Dawki under JICA ODA Loan assistance Phase-II -Balance Work Pkg-1,NHIDCL -) (-,618377,,,Meghalaya,07/2020,10/2025,06/2026,351.12,351.12,0.0,100.0,FlashReport_June_2026_page132_table0.csv,132,2026-08-28T21:13:51.495728,-1.0,0,0,0,8,1,1,0,0,0,1,1
618382,12,2025-12,Widening and up-gradation to 2-lane with paved shoulder configuration and geometric improvements from km 298.00 to km 339.00 on Aizawl-Tuipang section under JICA ODA Loan assistance Phase-I Package-7,NHIDCL,618382,,,Mizoram,09/2019,04/2024,03/2025,605.76,750.32,0.01,100.0,FlashReport_December_2025_page46_table1.csv,46,2026-08-28T21:13:48.899870,-0.9999834918119387,0,0,0,11,1,1,0,0,0,1,1
619077,8,2026-01,6 laning of Balance Work of Chennai - Tada from km. 21.40 to km. 54.40,National Highways Authority of India [NHAI],619077,,,"Multi-States (Andhra Pradesh, Tamil Nadu)",12/2017,03/2020,09/2022,464.62,472.37,18.83,100.0,FlashReport_January_2026_page115_table1.csv,115,2026-08-28T21:13:50.064797,-0.9594722568981103,0,0,0,30,1,1,1,0,0,1,1
618577,6,2026-02,Dwarka Expressway Pkg-III Delhi/HR Border to Start of RoB Gurugram,National Highways Authority of India [NHAI] -,618577,,,"Multi-States (Delhi, Haryana)",01/2018,11/2020,02/2024,2228.26,2298.37,928.18,100.0,FlashReport_February_2026_page141_table1.csv,141,2026-08-28T21:13:49.450494,-0.583450764273469,0,0,0,39,1,1,1,0,0,1,1
619122,5,2026-01,Akshardham - DL/UP Border Pkg-01,National Highways Authority of India [NHAI],619122,,,"Multi-States (Delhi, Uttar Pradesh)",09/2020,12/2024,,1479.22,1476.75,1327.01,100.0,FlashReport_January_2026_page116_table1.csv,116,2026-08-28T21:13:50.070262,-0.10289882505644865,0,0,0,0,0,0,0,0,0,1,1
618935,5,2026-01,4L Ambala - Kalaamb from Km. -0.800 to Km. 33.015 of old NH-72,National Highways Authority of India [NHAI],618935,,,"Multi-States (Haryana, Punjab)",10/2022,06/2025,,1183.7,1190.34,452.04,100.0,FlashReport_January_2026_page116_table1.csv,116,2026-08-28T21:13:50.071190,-0.6181126974740221,0,0,0,0,0,0,0,0,0,1,1
618533,7,2026-01,Barwa Adda Km. 398.240 to Panagarh Km. 521.120,National Highways Authority of India [NHAI],618533,,,"Multi-States (Jharkhand, West Bengal)",08/2010,09/2016,,1560.39,1568.22,8.05,100.0,FlashReport_January_2026_page116_table1.csv,116,2026-08-28T21:13:50.072812,-0.9948410333314107,0,0,0,0,0,0,0,0,0,1,1
619205,7,2026-05,Six Laning of KT/KL Border Thalapaddy -Chengala from Km. 17.200 to Km. 57.20,National Highways Authority of India [NHAI] -) (11895,619205,,,"Multi-States (Karnataka, Kerala)",05/2020,05/2024,06/2026,1981.07,2681.48,1060.64,100.0,FlashReport_May2026_page135_table0.csv,135,2026-08-28T21:13:52.780840,-0.4646125578601462,0,0,0,25,1,1,1,0,0,1,1
618515,5,2026-03,6L from Belgaum to Sankeshwar Bypass from Km. 515.000 to Km. 555.017 of NH-48 Pkg-I,National Highways Authority of India [NHAI] N24001679,618515,,,"Multi-States (Karnataka, Maharashtra)",11/2021,04/2025,04/2026,1479.3,1237.04,1136.31,100.0,FlashReport_March_2026_page131_table1.csv,131,2026-08-28T21:13:52.055540,-0.2318596633542892,0,0,0,12,1,1,0,0,0,1,1
619097,8,2026-01,Thalassery Mahe Bypass Km 170.600 to Km 189.200 of NH-17New NH-66 in Kerala,National Highways Authority of India [NHAI],619097,,,"Multi-States (Kerala, Puducherry)",09/2017,05/2020,06/2023,1181.12,1573.18,4.81,100.0,FlashReport_January_2026_page117_table1.csv,117,2026-08-28T21:13:50.077381,-0.9959275941479274,0,0,0,37,1,1,1,0,0,1,1
618938,5,2026-01,4L of Rajura-Korpana-Adilabad Road upto M.S. Border from km 32.910 to km 89.090 of NH-353B,National Highways Authority of India [NHAI],618938,,,"Multi-States (Maharashtra, Telangana)",03/2022,10/2024,04/2025,1013.33,1274.63,546.55,100.0,FlashReport_January_2026_page117_table1.csv,117,2026-08-28T21:13:50.077680,-0.46063967315681964,0,0,0,6,1,0,0,0,0,1,1
618755,5,2026-04,4L of left out existing road section from Lalgopalganj Km 161.450 to Nawabganj Km 180.200 in Prayagraj,National Highways Authority of India [NHAI] -) (-,618755,,,"Multi-States (Rajasthan, Uttar Pradesh)",03/2024,03/2026,05/2026,159.53,100.74,72.27,100.0,FlashReport_April2026_page136_table0.csv,136,2026-08-28T21:13:48.056839,-0.5469817589168182,0,0,0,2,0,0,0,0,0,1,1
618072,15,2026-03,Widening to Existing single lane /intermediate lane to 2 lane from Km185.00 to Km 220.00 of NH-61 New NH-02 in the state of Nagaland.,MoRTH N24001466,618072,,,Nagaland,03/2021,07/2024,03/2026,297.25,297.25,149.19,100.0,FlashReport_March_2026_page132_table1.csv,132,2026-08-28T21:13:52.062671,-0.4980992430613962,0,0,0,20,1,1,1,0,0,1,1
618423,16,2026-03,Construction of 2-Lane with hard shoulders of Merangkong-Tamlu-Mon MTM Road from existing Km 20.456 to Km 41.065 Design Km. 20 to Km. 40.0 Design Length- 20.000 Km in the State of Nagaland under SARDP-NE Phase-A Pkg-2 Balance work,NHIDCL N24000763,618423,,,Nagaland,03/2018,08/2025,03/2026,215.79,215.79,28.64,100.0,FlashReport_March_2026_page133_table1.csv,133,2026-08-28T21:13:52.068061,-0.8672783724917744,0,0,0,7,1,1,0,0,0,1,1
617924,5,2026-03,Construction of bypass to Nayagarh town from km 235.469 to 252.482 of NH-57 including land acquisition in the state of Odisha.,MoRTH N24001860,617924,,,Odisha,01/2022,04/2025,03/2026,300.33,300.33,82.33,100.0,FlashReport_March_2026_page134_table1.csv,134,2026-08-28T21:13:52.072062,-0.7258682116338694,0,0,0,11,1,1,0,0,0,1,1
618704,6,2026-07,6L Flyover including RE Wall approaches with Flexible Pavement in the Elephant Corridor of Angul Sambalpur Section of NH-42 New NH-55 Km.202.533,NHAI -) (-,618704,,,Odisha,09/2023,01/2027,08/2026,150.86,106.32,106.14,100.0,FlashReport_July_2026_page131_table0.csv,131,2026-08-28T21:13:51.013189,-0.296433779663264,0,0,0,-5,0,0,0,,,,
618023,7,2026-04,Work of Widening/upgradation of 2-Lane with paved shoulder of Sri Muktsar Sahib to Malout road from Km 279.400 to Km 307.060 section of NH-354 in the State of Punjab on EPC mode. Job No. NH-354-PB-2021-22-555,MoRTH N24001961) (-,618023,,,Punjab,03/2022,04/2025,03/2026,152.58,152.58,0.0,100.0,FlashReport_April2026_page140_table0.csv,140,2026-08-28T21:13:48.075092,-1.0,0,0,0,11,1,1,0,0,0,1,1
617887,7,2026-06,Beawer Gomti 4LPS from km 58.245 to km 108.600 Pkg-I,MoRTH -) (-,617887,,,Rajasthan,12/2020,10/2023,07/2026,379.23,379.23,206.48,100.0,FlashReport_June_2026_page141_table0.csv,141,2026-08-28T21:13:51.530573,-0.4555283073596499,0,0,0,33,1,1,1,,,,
